X,Y,OBJECTID_1,UniqueID,ProjectName,AwardDateYearFunded,City,SiteAddress,County,ParcelTaxID,Latitude,Longitude,FundingSource,TotalBrownfieldIncentives,F381ApprovedAmount,GrantAwardAmount,LoanAwardAmount,WaterfrontAwardAmount,BrownfieldSiteAssessment,StateFundedCleanupAmountSpent,Acreage,DevelopmentType
-83.743794,42.2859460000001,54,2201308019,544 Detroit Street Redevelopment Project,2013/08/27 00:00:00+00,Ann Arbor,544 Detroit Street,Washtenaw,09-09-29-118-010,42.285946,-83.743794,381,265383,"$265,383 ",,,0,,0,0.1,commercial
-85.556776,42.232108,55,2201607021,5825 and 5901 Willoughby Drive,2016/07/19 00:00:00+00,Portage,"5825, 5901 Willoughby Drive",Kalamazoo,"09240-020-0, 09240-028-A",42.232108,-85.556776,381,54425,"$54,425 ",,,0,,0,3.42,Commercial
-86.021227,42.814259,56,2200412037,59 W. Washington Avenue,2004/12/17 00:00:00+00,Zeeland,59 W. Washington Avenue,Ottawa,70-16-13-480-007-00 split to -008 and -009,42.814259,-86.021227,381,58600,"$58,600 ",,,0,,0,2.86,Mixed residential/commercial
-85.6832689999999,42.9695790000001,57,2201306013,600 Douglas NW,2013/06/21 00:00:00+00,Grand Rapids,600 Douglas NW,Kent,41-13-25-108-014,42.969579,-85.683269,381,168860,"$168,860 ",,,0,,0,0.4,planned redevelopment district
-85.574826,42.2944190000001,58,2201605009,600 East Michigan Ave,2016/05/26 00:00:00+00,Kalamazoo,"572, 600 East Michigan",Kalamazoo,"06-15-440-002, 06-15-435-010",42.294419,-85.574826,"BRG, BRL, 381",435907,"$50,222 ","$191,750 ","$193,935 ",0,,0,4,Commercial
-88.065556,45.8166670000001,59,2201308016,600 S. Stephenson,2013/08/06 00:00:00+00,Iron Mountain,600 S. Stephenson Ave.,Dickinson,<null> ,45.816667,-88.065556,<null> ,0,,,,0,Yes,0,0.66,Commercial
-83.7327769999999,42.2746960000001,60,2201008010,"601 Forest, LLC - Green Urban Living Redevelopment Project",2010/08/30 00:00:00+00,Ann Arbor,"607, 609, 617 & 621 S. Forest and 1304 South University",Washtenaw,"09-09-28-309-027, 09-09-29-309-028, 09-09-28-309-026, 09-09-28-309-025",42.274696,-83.732777,381,676623,"$676,623 ",,,0,,0,0.79,C2A - Central Business
-85.683706,42.9662980000001,61,2201604014,601 West LLC,2016/04/05 00:00:00+00,Grand Rapids,"601, 615, 621, Lake Michigan Drive NW, 134, 140, 144 Lexington Ave NW",Kent,"41-13-25-154-012, -011, -007, -006, -005, -004",42.966298,-85.683706,381,965900,"$965,900 ",,,0,,0,0,Mixed Use
-85.683706,42.9662980000001,62,2201504007,601 West LLC,2015/04/15 00:00:00+00,Grand Rapids,"601, 615, 621 Lake Michigan Drive NW; 134, 140, 144 Lexington NW",Kent,<null> ,42.966298,-85.683706,381,482950,"$482,950 ",,,0,,0,0,<null> 
-85.59192,42.294246,63,2201902002,615 Holdings Redevelopment,2019/02/14 00:00:00+00,Kalamazoo,615 West Kalamazoo Avenue,Kalamazoo,06-16-437-104,42.294246,-85.59192,RPG,278000,,"$278,000 ",,,,,0.863,Mixed Use -commerical & Residential 
-83.74868,42.2732520000001,64,2201609026,"615, 633, 637 South Main Street",2016/09/23 00:00:00+00,Ann Arbor,"615, 633, 637 South Main Street",Washtenaw,"09-09-29-431-011, -012, -005",42.273252,-83.74868,381,3357960,"$3,357,960 ",,,0,,0,1.97,Mixed Use
-83.749519,42.2733160000001,65,2201210022,618 South Main - An Urban Apartment Community Redevelopment Project,2012/10/29 00:00:00+00,Ann Arbor,606 & 618 S. Main St.,Washtenaw,09-09-29-415-006 &09-09-29-415-004,42.273316,-83.749519,381,140000,"$140,000 ",,,0,,0,1,D2 (Downtown Interface)
-85.658056,42.950833,66,2201109021,620 Madison,2011/09/29 00:00:00+00,Grand Rapids,620 Madison St.,Kent,<null> ,42.950833,-85.658056,<null> ,0,,,,0,Yes,0,2.3,Park
-85.633991,44.7643820000001,67,2201209019,626 W Front St / CVS,2012/09/26 00:00:00+00,Traverse City,Front and Division Street intersection,Grand Traverse,multiple parcels,44.764382,-85.633991,381,2465300,"$2,465,300 ",,,0,,0,0,"commercial, residential"
-83.061852,42.3412020000001,68,220190306,640 Temple Redevelopment Project - 381 WP,2019/03/12 00:00:00+00,Detroit, 640 Temple ,Wayne,4000575,42.341202,-83.061852,381,872727,"$872,727 ",,,,,,,
-83.0130559999999,42.3919440000001,69,2200407008,6633 Rohns,2004/07/06 00:00:00+00,Detroit,6633 Rohns,Wayne,<null> ,42.391944,-83.013056,<null> ,0,,,,0,Yes,0,0.6,Commercial
-83.1626189999999,42.43161,70,2201107010,7 Mile Road Family Dollar,2011/07/11 00:00:00+00,Detroit,10108-10130 7 Mile Road,Wayne,"16-008753-6, 16-008746-52",42.43161,-83.162619,381,202570,"$202,570 ",,,0,,0,1.27,B-2 Local Business
-83.1419769999999,42.4313310000001,71,2201711825,7.Live,2017/11/22 00:00:00+00,Detroit,19031 Livernois Ave,Wayne,1601757,42.431331,-83.141977,381,186036,"$186,036.00 ",,,,,,0.57,
-83.1463889999999,42.4027780000001,72,2200603009,7504 Fenkell,2006/03/28 00:00:00+00,Detroit,7504 Fenkell St.,Wayne,<null> ,42.402778,-83.146389,<null> ,0,,,,0,Yes,0,0.19,Commercial
-83.015548,42.378245,73,2200704010,7811 Gratiot Avenue Redevelopment,2007/04/26 00:00:00+00,Detroit,7811 Gratiot Avenue,Wayne,26 parcels,42.378245,-83.015548,381,32980,"$32,980 ",,,0,,0,4,B3 - Shopping District
-83.6177539999999,42.2516900000001,74,2199901056,800 Lowell Street (former Exemplar Manufacturing),1999/01/12 00:00:00+00,Ypsilanti,298 Jarvis St. & 800 Lowell St,Washtenaw,<null> ,42.25169,-83.617754,SRG,440500,,"$440,500 ",,0,,0,7.5,<null> 
-83.410017,41.933324,75,2199709024,815 N. Telegraph Road - Former Drake's Refinery,1997/09/25 00:00:00+00,Monroe,815 N. Telegraph Road,Monroe,58-55-69-00073-009-BR1,41.933324,-83.410017,381,87000,"$87,000 ",,,0,,0,0,C-2 Commercial
-83.15709,42.4536400000001,76,2199607019,8521 Northend,1996/07/16 00:00:00+00,Royal Oak,8521 Northend Ave,OAKLAND,<null> ,42.45364,-83.15709,SAF,28500,,"$28,500 ",,0,,0,0,Commercial
-83.172929,42.4473370000001,77,220190337,8MK,2019/08/02 00:00:00+00,Oak Park,12700 West 8 Mile Road,Oakland,52-25-32-376-031,42.447337,-83.172929,RMG,600000,,"$600,000 ",,,,,4.589,Restaurant
-83.114907,42.45498,78,2201311024,965 Wanda/Former LTV Copperweld,2013/11/20 00:00:00+00,Ferndale,965 Wanda,Oakland,24-25-35-176-009,42.45498,-83.114907,381,265240,"$265,240 ",,,0,,0,20.41,Industrial
-83.162472,42.392953,79,2199512014,ABC Drums Birwood,1995/12/11 00:00:00+00,Detroit,14290 Birwood St.,Wayne,<null> ,42.392953,-83.162472,<null> ,0,,,,0,Yes,0,2,Unknown
-83.104167,42.436944,80,2199511012,ABC Drums Lantz,1995/11/21 00:00:00+00,Detroit,102 W. Lantz St.,Wayne,<null> ,42.436944,-83.104167,<null> ,0,,,,0,Yes,0,2,Parking Lot
-85.687778,42.9569440000001,81,2199706017,Abel Metal Finishing,1997/06/30 00:00:00+00,Grand Rapids,343 Straight St. SW,Kent,<null> ,42.956944,-85.687778,<null> ,0,,,,0,Yes,0,1,Unknown
-83.199359,42.208421,82,2201106008,Abercrombie  Southgate Redevelopment Project,2011/06/22 00:00:00+00,Southgate,"13565,13575,13585 Dix-Toledo Highway",WAYNE,<null> ,42.208421,-83.199359,BRG,595000,,"$595,000 ",,0,,0,0.44,Commercial
-86.436581,42.1384810000001,83,2200507015,Ace Metals,2005/07/05 00:00:00+00,St. Joseph,Alreco Rd,BERRIEN,081-01-000-164-00,42.138481,-86.436581,BRG,390000,,"$390,000 ",,0,,0,32.93,Industrial
-84.888719,41.9474490000001,84,2200205011,"Acorn Building Components, Quincy",2002/05/13 00:00:00+00,Quincy,42 Cole Street,BRANCH,"081-01-000-164-00,081-01-000-160-00,081-01-000-065-02,081-998-000-004-00,081-999-000-009-00",41.947449,-84.888719,BRG,1000000,,"$1,000,000 ",,0,,0,0,Industrial
-84.031111,41.8927780000001,85,2200106026,Adrian Silos,2001/06/06 00:00:00+00,Adrian,349 Logan St.,Lenawee,<null> ,41.892778,-84.031111,<null> ,0,,,,0,Yes,0,0.79,Ind. Park/warehouse
-85.199167,42.3213890000001,86,2199702008,AK Zinn,1997/02/27 00:00:00+00,Battle Creek,160 S. Kendall St.,Calhoun,<null> ,42.321389,-85.199167,<null> ,0,,,,0,Yes,0,6,<null> 
-83.0908429999999,42.469521,87,2199709022,Alhambra Properties-Hazel Park,1997/09/15 00:00:00+00,Hazel Park,1355 E. Woodward Heights Blvd.,OAKLAND,<null> ,42.469521,-83.090843,SAF,19000,,"$19,000 ",,0,,0,2.2,Industrial
-85.84698,42.5276000000001,88,2199908026,Allegan Water Street Waterfront Development,1999/08/05 00:00:00+00,Allegan,"402, 400, 340, 338, 322, 310, 300, 134, and 100 Water Street",ALLEGAN,<null> ,42.5276,-85.84698,WRG,650000,,,,650000,,0,0,Commercial
-83.2073609999999,42.283172,89,2200212038,Allen Park Clay Mine Landfill Redevelopment,2002/12/23 00:00:00+00,Allen Park,Oakwood Boulevard & Southfield Freeway (M-39),Wayne,<null> ,42.283172,-83.207361,381,30224336,"$30,224,336 ",,,0,,0,243,Commercial (by conditional use permit)
-84.526914,42.730283,90,220190343,Allen Street Neighborhood,2019/07/16 00:00:00+00,Lansing,1611 East Kalamazoo Street,Ingham,33-01-01-15-427-302,42.730283,-84.526914,RMG,850000,,"$850,000 ",,,,,1.441,"Mixed-Use, Community Space"
-83.386311,41.915899,91,2199911050,Allensco Development (Former Monroe Co. Hospital),1999/11/03 00:00:00+00,Monroe,120 Maple Boulevard,Monroe,58-55-01420-000,41.915899,-83.386311,381,52850,"$52,850 ",,,0,,0,0.75,R1C Single Family Residential
-84.6623959999999,43.375928,92,2200408012,Alma Downtown Waterfront Brownfield Redevelopment,2004/08/31 00:00:00+00,Alma,Mechanic St and State St,GRATIOT,<null> ,43.375928,-84.662396,"BRL, WRG",354000,,,"$154,000 ",200000,,0,11,Commercial/Residential
-84.6328349999999,43.3849480000001,93,2200602004,Alma Iron & Metal Project (former TPI Petroleum Site),2006/02/24 00:00:00+00,Alma,1430 Williams Street,Gratiot,<null> ,43.384948,-84.632835,381,15200,"$15,200 ",,,0,,0,10,"Alma Iron & Metal Company, Inc."
-83.44289,45.0715000000001,94,2200308019,Alpena Area-Wide,2003/08/28 00:00:00+00,Alpena,"421 West Miller Road,615 and 633 West Campbell Street,205 Water Street, 901 West Chisholm Street",ALPENA,"04-092-117-000-064,04-093-417-814,04-093-417-000-826,04-093-417-000-828,04-093-637-000-006,04-093-637-000-635",45.0715,-83.44289,SAF,76000,,"$76,000 ",,0,,0,0,Commercial
-83.4291029999999,45.057595,95,2199804006,Alpena Riverfront Area,1998/04/02 00:00:00+00,Alpena,250 Prentiss St.,ALPENA,<null> ,45.057595,-83.429103,SAF,48000,,"$48,000 ",,0,,0,0,Commercial/Residential
-83.433579,45.0643440000001,96,2200108039,Alpena Third & River (RiverView Condos),2001/08/16 00:00:00+00,Alpena,N. 3rd and River St,ALPENA,<null> ,45.064344,-83.433579,SRG,61000,,"$61,000 ",,0,,0,0,Residential
-85.685233,43.0031460000001,97,2200608026,Alpinist Endeavors,2006/08/30 00:00:00+00,Walker,"2150 Alpine Ave, NW, Walker, MI",KENT,<null> ,43.003146,-85.685233,BRL,1000000,,,"$1,000,000 ",0,,0,41.5,Commercial/Industrial
-86.072778,42.3469440000001,98,2200110045,Ambulance Station,2001/10/26 00:00:00+00,Breedsville,NW corner of Main/Pine Sts.,Van Buren,<null> ,42.346944,-86.072778,<null> ,0,,,,0,Yes,0,0.49,Ambulance station
-83.688889,42.09,99,2199605007,American Foundry,1996/05/06 00:00:00+00,Milan,NW coner Second/Ash Sts.,Washtenaw,<null> ,42.09,-83.688889,<null> ,0,,,,0,Yes,0,5.7,Proposed Residential
-86.303331,44.231947,100,2200806019,American Materials LLC,2008/06/11 00:00:00+00,Manistee,1513 State Street,MANISTEE,"51-51-713-175-10,51-51-713-175-15,51-51-713-175-20,51-51-718-200-05",44.231947,-86.303331,"BRG,BRL",589704,,"$589,704 ",,0,,0,19.6,Industrial
-86.303331,44.231947,101,2200803005,"American Materials, LLC (former AKZO Salt)",2008/03/05 00:00:00+00,Manistee,1513 State Street,Manistee,"51-51-718-200-05, 51-51-713-175-10, 51-51-713-175-15, 51-51-713-175-20",44.231947,-86.303331,381,381190,"$381,190 ",,,0,,0,19.6,Industrial
-82.458466,42.9430860000001,102,2200112048,Anchor Recycling,2001/12/11 00:00:00+00,Port Huron,"Goulden  St, between 32nd and 28th",SAINT CLAIR,<null> ,42.943086,-82.458466,SRG,502000,,"$502,000 ",,0,,0,0,Industrial
-86.2018839999999,42.998993,103,2201403006,Anlaan Corporation Redevelopment Project,2014/03/04 00:00:00+00,Grand Haven Charter Township,16750 Lincoln Street,Ottawa,70-07-15-100-002,42.998993,-86.201884,381,69213,"$69,213 ",,,0,,0,14.52,Industrial
-85.561389,42.2900000000001,104,2199603006,Annen (Sutherland) Park,1996/03/20 00:00:00+00,Kalamazoo,251 Mills St.,Kalamazoo,<null> ,42.29,-85.561389,<null> ,0,,,,0,Yes,0,6,City Park extension
-83.700181,42.2573870000001,105,2201205010,Arbor Hills Crossing,2012/05/18 00:00:00+00,Ann Arbor,"3000, 3038-3040, 3060,3100 Washtenaw Avenue",Washtenaw,"09-12-02-204-038, -037, -024, -086",42.257387,-83.700181,381,1440740,"$1,440,740 ",,,0,,0,7.22,C3 Commercial
-82.832386,43.4249530000001,106,2200108050,"Argyle Street, Sanduskey",2001/08/10 00:00:00+00,Sandusky,70 Argyle St,Sanilac,76-320-032-400-190-02,43.424953,-82.832386,RRL,138000,,,"$138,000 ",0,,0,0,Residential
